money,brand,model,year,color,fuel_type,door,gear,motor,body_type,kilometers,currency
7589900,Honda,HR-V,2019,Rojo,Nafta,5,Automatic,1.8,SUV,39000,pesos
1950000,Fiat,Linea,2014,Plateado,Nafta,4,Manual,1.8,Sedain,147000,pesos
3050000,Chevrolet,Onix,2016,Gris,Nafta,5,Manual,1.4,Hatchback,64000,pesos
3150000,Peugeot,408,2015,Blanco,Nafta,4,Manual,1.6,Sedain,90000,pesos
9389900,Chevrolet,Equinox,2021,Plateado,Nafta,5,Automatic,1.5,SUV,23000,pesos
3290000,Peugeot,308,2015,Blanco,Nafta,5,Automatic,1.6,Hatchback,83000,pesos
14900,Audi,A1,2011,Blanco,Nafta,3,Automatic,1.4,Hatchback,99000,Dollar
3150000,Citroen,Aircross,2017,Plateado,Nafta/CNG,5,Automatic,1.6,Hatchback,75000,pesos
3100000,Peugeot,408,2015,Gris,Nafta,4,Manual,2,Sedain,57000,pesos
2750000,Peugeot,308,2014,Blanco,Nafta,5,Manual,1.6,Hatchback,98000,pesos
3750000,Ford,Kuga,2013,Blanco,Nafta,5,Manual,2.5,SUV,85000,pesos
11290000,Toyota,Corolla Cross,2022,Rojo,Nafta,5,Automatic,1.8,SUV,510,pesos
46900,Jeep,Grand Cherokee,2015,Blanco,Nafta,5,Automatic,3.6,SUV,44000,Dollar
2520000,Fiat,Palio,2018,Blanco,Nafta,5,Manual,1.4,Hatchback,53000,pesos
43000,Toyota,Camry,2018,Gris,Nafta,4,Automatic,3.5,Sedain,59698,Dollar
17900,Peugeot,208,2018,Negro,Nafta,5,Manual,1.6,Sedain,60202,Dollar
5850000,Toyota,Corolla,2019,Gris,Nafta,4,Manual,1.8,Sedain,10000,pesos
32000,Mercedes-Benz,Clase E,2014,Blanco,Nafta,4,Automatic,2.1,Sedain,129681,Dollar
185000,Mercedes-Benz,Clase E,2019,Gris,Nafta,4,Automatic,3,Sedain,18594,Dollar
23500,Hyundai,Genesis,2012,Gris,Nafta,2,Manual,TURBO,Coupe,104270,Dollar
79900,Porsche,Panamera,2010,Blanco,Nafta,4,Automatic,1.8,Sedain,59141,Dollar
2500000,Volkswagen,Up!,2015,Blanco,Nafta,5,Automatic,1,Hatchback,110000,pesos
1700000,Citroen,C3,2010,Azul,Nafta,5,Manual,1.6,Hatchback,141000,pesos
2690000,Nissan,Tiida,2013,Dorado,Nafta,5,Manual,1.8,Hatchback,96000,pesos
4400000,Citroen,C4 Cactus,2017,Blanco,Nafta,5,Automatic,1.2,SUV,58000,pesos
3990000,Peugeot,208,2021,Gris,Nafta,5,Manual,1.6,Hatchback,7400,pesos
3950000,Citroen,C3,2020,Plateado,Nafta,5,Manual,1.6,Hatchback,38000,pesos
2290000,Citroen,C3,2014,Gris,Nafta,5,Manual,1.5,Hatchback,133000,pesos
3900000,Jeep,Compass,2013,Gris,Nafta,5,Automatic,2.4,SUV,140000,pesos
3750000,Ford,Focus III,2017,Azul,Nafta,5,Manual,1.6,Hatchback,46000,pesos
2650000,Peugeot,308,2012,Gris,Nafta,5,Manual,1.6,Hatchback,139000,pesos
58000,Toyota,SW4,2019,Blanco,Diesel,5,Automatic,2.8,SUV,63000,Dollar
5200000,Fiat,Toro,2018,Negro,Diesel,4,Manual,2,Pick-Up,59000,pesos
3800000,Toyota,Etios,2018,Gris,Nafta,4,Manual,1.5,Sedain,64000,pesos
3650000,Citroen,C4 Lounge,2017,Blanco,Nafta,4,Automatic,1.6,Sedain,48000,pesos
4599999,Peugeot,208,2019,Blanco,Nafta,5,Manual,1.6,Hatchback,48000,pesos
2280000,Fiat,Punto,2013,Blanco,Nafta,5,Manual,1.4,Hatchback,93000,pesos
6489000,Nissan,Kicks,2018,Gris,Nafta,5,Manual,1.6,Hatchback,53000,pesos
4450000,Renault,Duster Oroch,2019,Blanco,Nafta,4,Manual,1.6,SUV,40000,pesos
8490000,Volkswagen,Vento,2018,Blanco,Nafta,4,Manual,2,Sedain,44000,pesos
3600000,Peugeot,208,2014,Rojo,Nafta,5,Manual,1.6,Hatchback,82000,pesos
6750000,Jeep,Compass,2018,Negro,Nafta,5,Manual,2.4,SUV,60000,pesos
2789900,Renault,Kwid,2018,Naranja,Nafta,5,Manual,1,Hatchback,49000,pesos
3189900,Ford,Ecosport,2014,Negro,Nafta,5,Manual,1.6,SUV,79000,pesos
3189900,Ford,Ka,2019,Blanco,Nafta/CNG,4,Manual,1.5,Sedain,59000,pesos
2950000,Chevrolet,Spin,2014,Gris,Nafta,5,Automatic,1.8,Monovolumen,140000,pesos
4250000,Fiat,Argo,2022,Blanco,Nafta,5,Manual,1.3,Hatchback,2000,pesos
3450000,Chevrolet,Spin,2016,Blanco,Nafta,5,Manual,1.8,Monovolumen,48000,pesos
4200500,Peugeot,208,2017,Plateado,Nafta,5,Manual,1.6,Hatchback,80000,pesos
4590000,Peugeot,208,2019,Gris,Nafta,5,Manual,1.6,Hatchback,13000,pesos
4237000,Ford,Focus III,2016,Gris,Nafta,5,Manual,2,Hatchback,86000,pesos
2550000,Citroen,C3,2014,Gris,Nafta,5,Manual,1.5,Hatchback,118000,pesos
11900000,Toyota,Hilux,2019,Gris,Diesel,4,Automatic,2.8,Pick-Up,51700,pesos
2100500,Ford,Focus II,2009,Dorado,Nafta,5,Manual,2,Hatchback,133000,pesos
5650000,Peugeot,2008,2020,Marrón,Nafta,5,Automatic,1.6,SUV,26000,pesos
3500000,Chevrolet,Onix,2020,Blanco,Nafta,5,Manual,1.4,Hatchback,25000,pesos
5289900,Ford,Focus III,2018,Gris,Nafta,4,Automatic,2,Sedain,55000,pesos
2350000,Peugeot,208,2013,Negro,Nafta,5,Manual,1.5,Hatchback,110000,pesos
3800000,Chevrolet,Onix,2018,Blanco,Nafta,5,Automatic,1.4,Hatchback,40000,pesos
5889900,Toyota,Yaris,2021,Blanco,Nafta,5,Automatic,1.5,Hatchback,19000,pesos
78500,RAM,1500,2022,Gris,Nafta,4,Automatic,5.7,Pick-Up,8300,Dollar
7550000,Volkswagen,Nivus,2021,Blanco,Nafta,5,Automatic,1,SUV,34000,pesos
3590000,Renault,Sandero,2018,Gris,Nafta,5,Manual,1.6,Hatchback,57000,pesos
6190000,Renault,Duster Oroch,2021,Negro,Nafta,4,Manual,2,SUV,26000,pesos
1610000,Renault,Sandero,2013,Negro,Nafta,5,Manual,1.6,Hatchback,83000,pesos
1960000,Volkswagen,Gol Trend,2015,Plateado,Nafta,5,Manual,1.6,Hatchback,65500,pesos
2280000,Citroen,C4 Lounge,2014,Plateado,Nafta,4,Automatic,1.6,Sedain,87000,pesos
2100000,Volkswagen,Vento,2015,Plateado,Nafta,4,Manual,2,Sedain,54500,pesos
1650000,Volkswagen,Up!,2018,Blanco,Nafta,5,Manual,1,Hatchback,79000,pesos
3590000,Renault,Duster Oroch,2019,Blanco,Nafta,4,Manual,1.6,SUV,87000,pesos
